composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,7.553763,60.118513,0.016634,0.449219,0.000000,0.449219,0.015515,15.515200
2,2,7.434769,59.171248,0.016900,0.449219,0.063477,0.512695,0.015510,15.510400
3,2,7.314386,58.213297,0.017178,0.449219,0.377330,0.826549,0.015517,15.516800
4,2,7.238725,57.610879,0.017358,2.539062,2.101505,4.640568,0.015506,15.505600
5,2,7.244915,57.660849,0.017343,1.230469,0.784878,2.015347,0.015499,15.499200
6,3,7.307696,58.159971,0.017194,0.449219,0.441000,0.890219,0.015520,15.520000
7,3,7.204193,57.336123,0.017441,2.539062,2.165280,4.704342,0.015507,15.507200
8,3,7.191149,57.232641,0.017473,1.230469,0.848414,2.078883,0.015502,15.502400
9,3,7.178102,57.128683,0.017504,2.539062,2.479531,5.018594,0.015510,15.510400
10,3,7.140674,56.830753,0.017596,1.230469,1.162095,2.392564,0.015502,15.502400
11,3,7.156266,56.954406,0.017558,3.320312,2.885056,6.205368,0.015499,15.499200
12,4,7.171389,57.075117,0.017521,2.539062,2.543153,5.082215,0.015512,15.512000
13,4,7.133960,56.777236,0.017613,1.230469,1.225999,2.456468,0.015504,15.504000
14,4,7.121747,56.679745,0.017643,3.320312,2.948830,6.269143,0.015501,15.500800
15,4,7.095656,56.472357,0.017708,3.320312,3.263552,6.583865,0.015504,15.504000
16,5,7.088919,56.418599,0.017725,3.320312,3.327090,6.647403,0.015502,15.502400
