composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,9.031776,63.669584,0.015706,0.448283,0.000000,0.448283,0.020104,20.104000
2,2,9.036214,63.701700,0.015698,0.448527,0.088613,0.537140,0.020120,20.120000
3,2,9.020893,63.582924,0.015727,0.447763,0.418274,0.866037,0.020088,20.088000
4,2,9.026162,63.618329,0.015719,2.529859,2.405828,4.935687,0.020096,20.096000
5,2,9.030498,63.650019,0.015711,1.226988,0.895989,2.122977,0.020096,20.096000
6,3,9.020903,63.582943,0.015727,0.447318,0.492360,0.939678,0.020120,20.120000
7,3,9.030996,63.666438,0.015707,2.532927,2.484800,5.017727,0.020144,20.144000
8,3,9.031044,63.666597,0.015707,1.227731,0.964432,2.192163,0.020120,20.120000
9,3,9.023388,63.621606,0.015718,2.532081,2.845535,5.377616,0.020112,20.112000
10,3,9.036964,63.704671,0.015697,1.228488,1.331667,2.560155,0.020120,20.120000
11,3,9.030663,63.650674,0.015711,3.316545,3.298057,6.614602,0.020120,20.120000
12,4,9.034690,63.695589,0.015700,2.535149,2.927013,5.462162,0.020168,20.168000
13,4,9.028929,63.658139,0.015709,1.227509,1.405480,2.632989,0.020144,20.144000
14,4,9.029441,63.645786,0.015712,3.316542,3.373580,6.690122,0.020144,20.144000
15,4,9.022037,63.587372,0.015726,3.308823,3.732433,7.041256,0.020120,20.120000
16,5,9.026416,63.633688,0.015715,3.316507,3.813134,7.129641,0.020152,20.152000
