composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,8.989063,68.349696,0.014631,0.449195,0.000000,0.449195,0.034152,34.152000
2,2,8.734027,66.410493,0.015058,0.449196,0.066491,0.515686,0.034144,34.144000
3,2,8.504118,64.660612,0.015465,0.449198,0.398648,0.847846,0.034150,34.150400
4,2,8.757635,66.581867,0.015019,2.538513,2.208150,4.746663,0.034062,34.062400
5,2,8.482464,64.491160,0.015506,1.230217,0.824886,2.055103,0.034085,34.084800
6,3,8.495032,64.593060,0.015482,0.449156,0.464957,0.914113,0.034149,34.148800
7,3,8.688086,66.054109,0.015139,2.538431,2.274902,4.813333,0.034064,34.064000
8,3,8.371480,63.647484,0.015712,1.230365,0.891607,2.121972,0.034080,34.080000
9,3,8.666436,65.891117,0.015177,2.538602,2.606654,5.145256,0.034069,34.068800
10,3,8.295690,63.071552,0.015855,1.230419,1.222979,2.453398,0.034091,34.091200
11,3,8.752371,66.540495,0.015028,3.320312,3.033285,6.353598,0.034080,34.080000
12,4,8.658459,65.829652,0.015191,2.538537,2.673030,5.211567,0.034072,34.072000
13,4,8.287376,63.008762,0.015871,1.230369,1.289169,2.519538,0.034094,34.094400
14,4,8.681684,66.005122,0.015150,3.319481,3.100168,6.419649,0.034083,34.083200
15,4,8.659449,65.837971,0.015189,3.320239,3.431846,6.752085,0.034086,34.086400
16,5,8.651585,65.778479,0.015203,3.320239,3.498953,6.819191,0.034090,34.089600
