composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,7.772316,59.156711,0.016904,0.449219,0.000000,0.449219,0.002125,2.124800
2,2,7.761862,59.081486,0.016926,0.449219,0.066385,0.515604,0.002126,2.126400
3,2,7.781516,59.225439,0.016885,0.449219,0.397633,0.846852,0.002125,2.124800
4,2,8.189879,62.342885,0.016040,2.539062,2.225200,4.764263,0.002125,2.124800
5,2,7.903292,60.153216,0.016624,1.230469,0.823345,2.053814,0.002126,2.126400
6,3,7.787683,59.272232,0.016871,0.449219,0.464765,0.913984,0.002128,2.128000
7,3,8.185825,62.335069,0.016042,2.539062,2.289440,4.828502,0.002128,2.128000
8,3,7.902383,60.148331,0.016626,1.230469,0.887511,2.117979,0.002131,2.131200
9,3,8.229714,62.622808,0.015969,2.539062,2.622301,5.161363,0.002130,2.129600
10,3,7.929984,60.358533,0.016568,1.230469,1.223755,2.454224,0.002126,2.126400
11,3,8.348448,63.561698,0.015733,3.320312,3.033106,6.353418,0.002131,2.131200
12,4,8.235872,62.669471,0.015957,2.539062,2.689047,5.228109,0.002133,2.132800
13,4,7.935599,60.403122,0.016555,1.230469,1.291275,2.521744,0.002130,2.129600
14,4,8.350657,63.578693,0.015729,3.320312,3.100052,6.420365,0.002133,2.132800
15,4,8.380234,63.809138,0.015672,3.320312,3.432918,6.753231,0.002133,2.132800
16,5,8.383394,63.843712,0.015663,3.320312,3.492905,6.813218,0.002133,2.132800
