composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,6.952492,55.619937,0.017979,0.449219,0.000000,0.449219,0.001280,1.280000
2,2,6.943407,55.547256,0.018003,0.449219,0.063477,0.512695,0.001288,1.288000
3,2,6.936632,55.493056,0.018020,0.449219,0.375977,0.825195,0.001288,1.288000
4,2,6.968429,55.747432,0.017938,2.539062,2.089844,4.628906,0.001288,1.288000
5,2,6.942677,55.541418,0.018005,1.230469,0.781250,2.011719,0.001280,1.280000
6,3,6.936727,55.493814,0.018020,0.449219,0.439453,0.888672,0.001296,1.296000
7,3,6.966244,55.729951,0.017944,2.539062,2.153320,4.692383,0.001296,1.296000
8,3,6.938932,55.511456,0.018014,1.230469,0.844727,2.075195,0.001288,1.288000
9,3,6.967209,55.737671,0.017941,2.539062,2.465820,5.004883,0.001296,1.296000
10,3,6.937917,55.503336,0.018017,1.230469,1.157227,2.387695,0.001288,1.288000
11,3,6.977214,55.817712,0.017915,3.320312,2.871094,6.191406,0.001288,1.288000
12,4,6.967304,55.738429,0.017941,2.539062,2.529297,5.068359,0.001304,1.304000
13,4,6.938012,55.504094,0.018017,1.230469,1.220703,2.451172,0.001296,1.296000
14,4,6.975029,55.800231,0.017921,3.320312,2.934570,6.254883,0.001296,1.296000
15,4,6.975994,55.807951,0.017919,3.320312,3.247070,6.567383,0.001296,1.296000
16,5,6.976089,55.808709,0.017918,3.320312,3.310547,6.630859,0.001304,1.304000
