composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,7.480492,59.843938,0.016710,0.449219,0.000000,0.449219,0.015360,15.360000
2,2,7.363167,58.905336,0.016976,0.449219,0.063477,0.512695,0.015352,15.352000
3,2,7.247312,57.978496,0.017248,0.449219,0.375977,0.825195,0.015368,15.368000
4,2,7.209929,57.679432,0.017337,2.539062,2.089844,4.628906,0.015352,15.352000
5,2,7.190357,57.522858,0.017384,1.230469,0.781250,2.011719,0.015344,15.344000
6,3,7.241227,57.929814,0.017262,0.449219,0.439453,0.888672,0.015368,15.368000
7,3,7.176364,57.410911,0.017418,2.539062,2.153320,4.692383,0.015352,15.352000
8,3,7.137592,57.100736,0.017513,1.230469,0.844727,2.075195,0.015344,15.344000
9,3,7.153749,57.229991,0.017473,2.539062,2.465820,5.004883,0.015360,15.360000
10,3,7.090797,56.726376,0.017628,1.230469,1.157227,2.387695,0.015352,15.352000
11,3,7.143714,57.149712,0.017498,3.320312,2.871094,6.191406,0.015344,15.344000
12,4,7.147664,57.181309,0.017488,2.539062,2.529297,5.068359,0.015360,15.360000
13,4,7.084712,56.677694,0.017644,1.230469,1.220703,2.451172,0.015352,15.352000
14,4,7.110149,56.881191,0.017581,3.320312,2.934570,6.254883,0.015344,15.344000
15,4,7.087534,56.700271,0.017637,3.320312,3.247070,6.567383,0.015352,15.352000
16,5,7.081449,56.651589,0.017652,3.320312,3.310547,6.630859,0.015352,15.352000
