composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,7.652592,467.218470,0.002140,0.449219,0.000000,0.449219,0.011264,11.264000
2,2,7.637482,463.287300,0.002158,0.449219,0.066198,0.515417,0.011181,11.187200
3,2,7.624828,213.248754,0.004689,1.230469,0.819354,2.049822,0.005153,5.250400
4,2,7.631065,441.309315,0.002266,0.449219,0.384098,0.833316,0.010690,10.749600
5,2,7.615855,175.253513,0.005706,2.539062,2.175611,4.714673,0.004232,5.238400
6,3,7.628696,441.043187,0.002267,0.449219,0.453377,0.902596,0.010679,10.738800
7,3,7.619965,209.945062,0.004763,1.230469,0.883454,2.113922,0.005083,5.186400
8,3,7.586883,146.475388,0.006827,3.320312,2.991629,6.311942,0.003528,3.855200
9,3,7.612771,172.058173,0.005812,2.539062,2.241283,4.780346,0.004161,5.172800
10,3,7.612592,150.300598,0.006653,2.539062,2.578959,5.118022,0.003658,4.725600
11,3,7.615433,187.042863,0.005346,1.230469,1.217838,2.448306,0.004531,4.692800
12,4,7.610037,151.055146,0.006620,2.539062,2.651513,5.190575,0.003682,4.744800
13,4,7.606195,187.803041,0.005325,1.230469,1.269982,2.500451,0.004568,4.724000
14,4,7.591098,143.253330,0.006981,3.320312,3.061746,6.382059,0.003459,3.794400
15,4,7.585829,121.898439,0.008204,3.320312,3.390411,6.710724,0.002963,3.348000
16,5,7.602566,122.709670,0.008149,3.320312,3.468495,6.788808,0.003004,3.388800
