composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,7.850268,472.008576,0.002119,0.449219,0.000000,0.449219,0.011648,11.648000
2,2,7.893510,470.392330,0.002126,0.449219,0.063477,0.512695,0.011668,11.688000
3,2,7.893579,446.802528,0.002238,0.449219,0.416582,0.865801,0.011064,11.148000
4,2,7.833254,215.735126,0.004635,1.230469,0.833527,2.063996,0.005412,5.512000
5,2,7.850374,178.259098,0.005610,2.539062,2.225266,4.764328,0.004432,5.472000
6,3,7.855031,446.725432,0.002239,0.449219,0.465155,0.914374,0.011068,11.152000
7,3,7.834191,214.066335,0.004671,1.230469,0.904519,2.134988,0.005363,5.478000
8,3,7.893563,176.641128,0.005661,2.539062,2.315357,4.854420,0.004448,5.504000
9,3,7.837169,192.901926,0.005184,1.230469,1.248531,2.479000,0.004886,5.062000
10,3,7.893574,154.345498,0.006479,2.539062,2.655400,5.194463,0.003908,5.026000
11,3,7.874947,151.001462,0.006622,3.320312,3.068492,6.388805,0.003925,4.266000
12,4,7.835569,192.898726,0.005184,1.230469,1.314908,2.545376,0.004894,5.076000
13,4,7.893574,154.345497,0.006479,2.539062,2.721777,5.260840,0.003920,5.048000
14,4,7.802151,146.498183,0.006826,3.320312,3.102669,6.422981,0.003741,4.090000
15,4,7.808642,121.734870,0.008215,3.320312,3.418292,6.738604,0.003097,3.532000
16,5,7.786937,122.255507,0.008180,3.320312,3.480134,6.800447,0.003153,3.578000
