composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,10.229440,622.109877,0.001607,0.449184,0.000000,0.449184,0.546675,546.675200
2,2,9.705431,586.787975,0.001704,0.449184,0.067704,0.516888,0.542666,542.920000
3,2,9.179063,529.339392,0.001889,0.449188,0.395264,0.844452,0.517174,520.116800
4,2,8.884453,270.217118,0.003701,1.230280,0.823927,2.054207,0.249559,254.267600
5,2,8.886089,210.898550,0.004742,2.538986,2.205556,4.744542,0.206544,255.084800
6,3,9.150098,529.197078,0.001890,0.449188,0.462633,0.911821,0.517116,519.938000
7,3,8.646670,252.330972,0.003963,1.230155,0.890889,2.121044,0.245587,250.547600
8,3,8.734838,198.292759,0.005043,2.538905,2.272171,4.811076,0.203027,251.814400
9,3,8.430465,213.381110,0.004686,1.230399,1.223675,2.454074,0.219557,227.282400
10,3,8.622578,165.824156,0.006030,2.538605,2.603482,5.142087,0.176787,228.294400
11,3,8.538829,178.226431,0.005611,3.319856,3.028727,6.348583,0.173529,189.079600
12,4,8.401320,213.590021,0.004682,1.230382,1.287069,2.517450,0.220194,227.737200
13,4,8.593558,165.924017,0.006027,2.538672,2.670825,5.209497,0.177242,228.590400
14,4,8.387150,165.578312,0.006039,3.319705,3.095125,6.414830,0.169918,185.724400
15,4,8.277083,133.283978,0.007503,3.319891,3.426290,6.746182,0.144003,162.504800
16,5,8.247807,133.234064,0.007506,3.320233,3.493977,6.814210,0.144140,162.506800
