composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,10.224951,621.836851,0.001608,0.449184,0.000000,0.449184,0.546675,546.675200
2,2,9.700293,586.518094,0.001705,0.449184,0.067704,0.516888,0.542666,542.920000
3,2,9.170846,529.093826,0.001890,0.449188,0.395264,0.844452,0.517174,520.116800
4,2,8.864355,269.462230,0.003711,1.230280,0.823927,2.054207,0.249559,254.267600
5,2,8.839822,209.196305,0.004780,2.538986,2.205556,4.744542,0.206544,255.084800
6,3,9.141238,528.949099,0.001891,0.449188,0.462633,0.911821,0.517116,519.938000
7,3,8.625938,251.579405,0.003975,1.230155,0.890889,2.121044,0.245587,250.547600
8,3,8.687942,196.593800,0.005087,2.538905,2.272171,4.811076,0.203027,251.814400
9,3,8.406551,212.654182,0.004702,1.230399,1.223675,2.454074,0.219557,227.282400
10,3,8.572545,164.150841,0.006092,2.538605,2.603482,5.142087,0.176787,228.294400
11,3,8.477002,176.457862,0.005667,3.319856,3.028727,6.348583,0.173529,189.079600
12,4,8.376842,212.859731,0.004698,1.230382,1.287069,2.517450,0.220194,227.737200
13,4,8.543405,164.109201,0.006094,2.538757,2.670763,5.209519,0.176934,228.319200
14,4,8.324693,163.813458,0.006105,3.319705,3.095125,6.414830,0.169918,185.724400
15,4,8.211574,131.543179,0.007602,3.319891,3.426290,6.746182,0.144003,162.504800
16,5,8.181608,131.443827,0.007608,3.320233,3.493784,6.814017,0.144043,162.418800
