composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,7.232562,462.883960,0.002160,0.449219,0.000000,0.449219,0.061363,61.363200
2,2,7.180074,456.060053,0.002193,0.449219,0.063477,0.512695,0.060930,60.958400
3,2,7.151804,430.619794,0.002322,0.449219,0.375977,0.825195,0.058040,58.373600
4,2,7.236244,216.801893,0.004613,1.230469,0.781250,2.011719,0.028099,28.627200
5,2,7.494591,188.975699,0.005292,2.539062,2.089844,4.628906,0.023226,28.672000
6,3,7.154827,430.631888,0.002322,0.449219,0.439453,0.888672,0.058041,58.361600
7,3,7.215904,212.035458,0.004716,1.230469,0.844727,2.075195,0.027679,28.235200
8,3,7.483874,184.825200,0.005411,2.539062,2.153320,4.692383,0.022818,28.292800
9,3,7.222146,188.803967,0.005296,1.230469,1.157227,2.387695,0.024763,25.624800
10,3,7.502200,162.367085,0.006159,2.539062,2.465820,5.004883,0.019902,25.682400
11,3,7.609993,162.530280,0.006153,3.320312,2.871094,6.191406,0.019530,21.280000
12,4,7.225169,188.816061,0.005296,1.230469,1.220703,2.451172,0.024764,25.612800
13,4,7.505224,162.379179,0.006158,2.539062,2.529297,5.068359,0.019903,25.670400
14,4,7.599276,158.379781,0.006314,3.320312,2.934570,6.254883,0.019122,20.900800
15,4,7.617602,135.921665,0.007357,3.320312,3.247070,6.567383,0.016206,18.290400
16,5,7.620626,135.933760,0.007357,3.320312,3.310547,6.630859,0.016207,18.278400
