composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,7.934829,484.064689,0.002066,0.449219,0.000000,0.449219,0.067712,67.712000
2,2,7.871081,476.868316,0.002097,0.449219,0.068047,0.517266,0.067244,67.288000
3,2,7.808730,449.465808,0.002225,0.449219,0.409814,0.859033,0.063824,64.232000
4,2,7.779678,220.009141,0.004545,1.230469,0.819738,2.050206,0.030984,31.568000
5,2,7.809005,181.023917,0.005524,2.539062,2.183887,4.722949,0.025560,31.600000
6,3,7.815774,450.359885,0.002220,0.449219,0.470360,0.919579,0.064076,64.454000
7,3,7.749331,214.908552,0.004653,1.230469,0.887273,2.117741,0.030512,31.136000
8,3,7.788554,176.556627,0.005664,2.539062,2.244673,4.783735,0.025028,31.112000
9,3,7.727329,190.568820,0.005247,1.230469,1.221205,2.451674,0.027215,28.194000
10,3,7.774893,152.555310,0.006555,2.539062,2.568674,5.107736,0.021736,28.184000
11,3,7.774529,152.839193,0.006543,3.320312,3.013294,6.333606,0.021535,23.486000
12,4,7.724907,190.779115,0.005242,1.230469,1.286710,2.517178,0.027299,28.282000
13,4,7.782496,152.722065,0.006548,2.537371,2.638538,5.175909,0.021940,28.384000
14,4,7.749671,148.001749,0.006757,3.320312,3.072909,6.393222,0.021151,23.166000
15,4,7.755423,124.708152,0.008019,3.318621,3.404228,6.722849,0.017835,20.184000
16,5,7.763925,124.936962,0.008004,3.320312,3.484369,6.804682,0.017783,20.132000
