composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,8.902945,542.769186,0.001842,0.449219,0.000000,0.449219,0.272000,272.000000
2,2,8.643140,523.591102,0.001910,0.449219,0.066913,0.516131,0.270028,270.168000
3,2,8.381367,484.054858,0.002066,0.449219,0.391360,0.840579,0.257488,258.952000
4,2,8.244774,241.750100,0.004137,1.230469,0.822484,2.052953,0.124448,126.784000
5,2,8.258509,193.805129,0.005160,2.539062,2.194231,4.733294,0.102536,126.672000
6,3,8.369041,483.945584,0.002066,0.449219,0.459202,0.908420,0.257436,258.854000
7,3,8.125305,231.136656,0.004326,1.230099,0.885520,2.115619,0.122396,124.856000
8,3,8.183297,186.017488,0.005376,2.539062,2.260211,4.799274,0.100740,125.000000
9,3,8.018016,200.477150,0.004988,1.230218,1.218179,2.448398,0.109378,113.204000
10,3,8.129507,159.268827,0.006279,2.539062,2.599200,5.138263,0.088284,113.830000
11,3,8.094551,163.435656,0.006119,3.320312,3.019608,6.339920,0.085969,93.794000
12,4,8.003842,200.657581,0.004984,1.230099,1.283212,2.513311,0.109566,113.320000
13,4,8.116046,159.511978,0.006269,2.539062,2.668919,5.207982,0.088580,114.036000
14,4,8.018710,155.692211,0.006423,3.316894,3.084106,6.400999,0.084361,92.306000
15,4,7.967303,128.462343,0.007784,3.320312,3.414793,6.735105,0.071325,80.624000
16,5,7.951795,128.401905,0.007788,3.320312,3.481522,6.801834,0.071325,80.562000
