composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,9.476442,525.158433,0.001904,0.445001,0.000000,0.445001,0.027712,27.712000
2,2,9.450478,520.731085,0.001920,0.446448,0.076701,0.523148,0.027552,27.584000
3,2,9.428300,494.776918,0.002021,0.445471,0.426733,0.872204,0.026280,26.436000
4,2,9.418958,237.910257,0.004203,1.222898,0.905234,2.128132,0.012594,12.836000
5,2,9.477198,197.707902,0.005058,2.528762,2.410894,4.939655,0.010496,12.992000
6,3,9.434643,494.832178,0.002021,0.446720,0.513982,0.960702,0.026240,26.418000
7,3,9.455013,235.765008,0.004242,1.222916,0.990357,2.213273,0.012625,12.898000
8,3,9.459800,193.091550,0.005179,2.506559,2.468396,4.974955,0.010268,12.792000
9,3,9.441873,207.068965,0.004829,1.227461,1.398012,2.625473,0.010996,11.434000
10,3,9.464979,169.768667,0.005890,2.515563,2.839801,5.355364,0.009064,11.716000
11,3,9.501086,166.704194,0.005999,3.279276,3.335939,6.615215,0.008755,9.574000
12,4,9.463058,210.175253,0.004758,1.230469,1.467742,2.698211,0.011260,11.694000
13,4,9.433261,167.724741,0.005962,2.515563,2.888922,5.404484,0.008888,11.548000
14,4,9.463575,162.795452,0.006143,3.315445,3.395001,6.710446,0.008707,9.542000
15,4,9.503754,134.644953,0.007427,3.274201,3.736384,7.010585,0.007163,8.174000
16,5,9.531046,136.383221,0.007332,3.320312,3.850154,7.170466,0.007247,8.274000
