composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,14.600000,175.200000,0.005708,0.473779,0.000000,0.473779,0.004062,8.124675
2,2,14.600000,117.200000,0.008532,0.473779,0.074219,0.547998,0.002719,5.437229
3,2,14.600000,103.700000,0.009643,1.256006,0.782227,2.038232,0.002405,4.810390
4,2,14.600000,67.200000,0.014881,0.473779,0.397949,0.871729,0.001562,3.123810
5,2,14.600000,80.200000,0.012469,2.607568,2.133789,4.741357,0.001865,3.729870
6,3,14.600000,71.700000,0.013947,1.256006,0.856445,2.112451,0.001664,3.328139
7,3,14.600000,63.200000,0.015823,0.473779,0.472168,0.945947,0.001468,2.936797
8,3,14.600000,60.200000,0.016611,2.607568,2.208008,4.815576,0.001401,2.801732
9,3,14.600000,73.700000,0.013569,3.389795,2.916016,6.305811,0.001714,3.428571
10,3,14.600000,47.700000,0.020964,1.256006,1.180176,2.436182,0.001113,2.226840
11,3,14.600000,48.200000,0.020747,2.607568,2.531738,5.139307,0.001124,2.247619
12,4,14.600000,53.700000,0.018622,3.389795,2.990234,6.380029,0.001250,2.500433
13,4,14.600000,43.700000,0.022883,1.256006,1.254395,2.510400,0.001020,2.039827
14,4,14.600000,44.200000,0.022624,2.607568,2.605957,5.213525,0.001030,2.060606
15,4,14.600000,41.700000,0.023981,3.389795,3.313965,6.703760,0.000973,1.946320
16,5,14.600000,37.700000,0.026525,3.389795,3.388184,6.777979,0.000880,1.759307
