composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,39.253098,471.037177,0.002123,0.713654,0.000000,0.713654,0.010836,21.672727
2,2,39.208029,452.401138,0.002210,1.501771,0.788117,2.289888,0.010428,20.855411
3,2,39.199030,314.962183,0.003175,0.713654,0.146484,0.860139,0.007266,14.531602
4,2,39.148235,167.401556,0.005974,0.713654,0.537109,1.250764,0.003861,7.722944
5,2,39.124328,152.146221,0.006573,1.885529,1.171875,3.057404,0.003513,7.026840
6,3,39.156507,303.106861,0.003299,1.501771,0.934601,2.436372,0.006999,13.998268
7,3,39.109400,162.311158,0.006161,1.501771,1.325226,2.826997,0.003747,7.494372
8,3,39.096090,150.444727,0.006647,2.673646,1.959992,4.633638,0.003475,6.950649
9,3,39.147882,163.364362,0.006121,0.713654,0.683594,1.397248,0.003778,7.556710
10,3,39.115143,123.883659,0.008072,1.885529,1.318359,3.203889,0.002873,5.745455
11,3,39.111101,103.783878,0.009635,1.885529,1.708984,3.594514,0.002398,4.796537
12,4,39.109047,158.273964,0.006318,1.501771,1.471711,2.973482,0.003664,7.328139
13,4,39.086906,122.182164,0.008185,2.673646,2.106476,4.780122,0.002835,5.669264
14,4,39.082864,102.082383,0.009796,2.673646,2.497101,5.170747,0.002360,4.720346
15,4,39.110748,99.746684,0.010025,1.885529,1.855469,3.740998,0.002315,4.630303
16,5,39.082510,98.045189,0.010199,2.673646,2.643586,5.317232,0.002277,4.554113
