composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,6.900000,441.600000,0.002264,0.449219,0.000000,0.449219,0.122880,122.880000
2,2,6.900000,438.600000,0.002280,0.449219,0.063477,0.512695,0.121976,122.032000
3,2,6.900000,417.600000,0.002395,0.449219,0.375977,0.825195,0.116224,116.896000
4,2,6.900000,202.200000,0.004946,1.230469,0.781250,2.011719,0.056224,57.280000
5,2,6.900000,167.200000,0.005981,2.539062,2.089844,4.628906,0.046488,57.392000
6,3,6.900000,417.600000,0.002395,0.449219,0.439453,0.888672,0.116224,116.868000
7,3,6.900000,199.200000,0.005020,1.230469,0.844727,2.075195,0.055384,56.496000
8,3,6.900000,164.200000,0.006090,2.539062,2.153320,4.692383,0.045648,56.608000
9,3,6.900000,178.200000,0.005612,1.230469,1.157227,2.387695,0.049568,51.296000
10,3,6.900000,143.200000,0.006983,2.539062,2.465820,5.004883,0.039832,51.408000
11,3,6.900000,140.600000,0.007112,3.320312,2.871094,6.191406,0.039088,42.592000
12,4,6.900000,178.200000,0.005612,1.230469,1.220703,2.451172,0.049568,51.268000
13,4,6.900000,143.200000,0.006983,2.539062,2.529297,5.068359,0.039832,51.380000
14,4,6.900000,137.600000,0.007267,3.320312,2.934570,6.254883,0.038248,41.808000
15,4,6.900000,116.600000,0.008576,3.320312,3.247070,6.567383,0.032432,36.608000
16,5,6.900000,116.600000,0.008576,3.320312,3.310547,6.630859,0.032432,36.580000
