composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,7.480492,478.751500,0.002089,0.449219,0.000000,0.449219,0.122880,122.880000
2,2,7.363167,468.148340,0.002136,0.449219,0.063477,0.512695,0.121976,122.032000
3,2,7.247312,438.752034,0.002279,0.449219,0.375977,0.825195,0.116224,116.896000
4,2,7.190357,216.298993,0.004623,1.230469,0.781250,2.011719,0.056224,57.280000
5,2,7.209929,176.705788,0.005659,2.539062,2.089844,4.628906,0.046488,57.392000
6,3,7.241227,438.727693,0.002279,0.449219,0.439453,0.888672,0.116224,116.868000
7,3,7.137592,209.827672,0.004766,1.230469,0.844727,2.075195,0.055384,56.496000
8,3,7.176364,171.463267,0.005832,2.539062,2.153320,4.692383,0.045648,56.608000
9,3,7.090797,184.851206,0.005410,1.230469,1.157227,2.387695,0.049568,51.296000
10,3,7.153749,148.034321,0.006755,2.539062,2.465820,5.004883,0.039832,51.408000
11,3,7.143714,149.077860,0.006708,3.320312,2.871094,6.191406,0.039088,42.592000
12,4,7.084712,184.826865,0.005410,1.230469,1.220703,2.451172,0.049568,51.268000
13,4,7.147664,148.009980,0.006756,2.539062,2.529297,5.068359,0.039832,51.380000
14,4,7.110149,143.835340,0.006952,3.320312,2.934570,6.254883,0.038248,41.808000
15,4,7.087534,120.406394,0.008305,3.320312,3.247070,6.567383,0.032432,36.608000
16,5,7.081449,120.382053,0.008307,3.320312,3.310547,6.630859,0.032432,36.580000
