composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,2,40.599269,2462.023779,0.000406,0.888672,0.537217,1.425889,0.028978,29.071200
2,2,40.599269,2462.023779,0.000406,0.888672,0.537217,1.425889,0.028978,29.071200
3,3,40.619964,2461.139223,0.000406,0.888672,0.685485,1.574156,0.028967,29.042800
4,3,40.619964,2461.139223,0.000406,0.888672,0.685485,1.574156,0.028967,29.042800
5,3,40.604902,2440.723497,0.000410,0.888672,0.690733,1.579405,0.028753,28.852400
6,3,40.604902,2440.723497,0.000410,0.888672,0.690733,1.579405,0.028753,28.852400
7,3,40.743403,2461.748421,0.000406,1.504355,1.173479,2.677834,0.028933,29.022400
8,3,40.743403,2461.748421,0.000406,1.504355,1.173479,2.677834,0.028933,29.022400
9,3,40.620720,2376.536375,0.000421,0.888672,1.099207,1.987878,0.027994,28.187600
10,3,40.822428,745.702925,0.001341,2.060547,1.744429,3.804976,0.008689,11.687600
11,3,40.822428,745.702925,0.001341,2.060547,1.744429,3.804976,0.008689,11.687600
12,4,40.619082,2439.825876,0.000410,0.888672,0.839359,1.728031,0.028742,28.824400
13,4,40.619082,2439.825876,0.000410,0.888672,0.839359,1.728031,0.028742,28.824400
14,4,40.757619,2460.850979,0.000406,1.504355,1.322105,2.826460,0.028924,28.998000
15,4,40.757619,2460.850979,0.000406,1.504355,1.322105,2.826460,0.028924,28.998000
16,4,40.633491,2375.635983,0.000421,0.888672,1.247552,2.136224,0.027985,28.161600
17,4,40.633491,2375.635983,0.000421,0.888672,1.247552,2.136224,0.027985,28.161600
18,4,40.748985,2440.955712,0.000410,1.504355,1.324293,2.828648,0.028719,28.812800
19,4,40.748985,2440.955712,0.000410,1.504355,1.324293,2.828648,0.028719,28.812800
20,4,40.836736,744.217799,0.001344,2.060547,1.894394,3.954941,0.008664,11.643200
21,4,40.918711,622.101836,0.001607,2.676230,2.374054,5.050284,0.007215,11.653600
22,4,40.836736,744.217799,0.001344,2.060547,1.894394,3.954941,0.008664,11.643200
23,4,40.918711,622.101836,0.001607,2.676230,2.374054,5.050284,0.007215,11.653600
24,4,40.814322,725.722609,0.001378,2.060547,1.890858,3.951405,0.008461,11.462800
25,4,40.814322,725.722609,0.001378,2.060547,1.890858,3.951405,0.008461,11.462800
26,4,40.834024,662.919735,0.001508,2.060547,2.292630,4.353177,0.007716,10.810800
27,4,40.746319,2377.321979,0.000421,1.504355,1.724767,3.229122,0.027976,28.166400
28,5,40.648695,2375.260675,0.000421,0.888672,1.395031,2.283703,0.027989,28.150800
29,5,40.763201,2440.058271,0.000410,1.504355,1.472919,2.977275,0.028710,28.788400
30,5,40.763201,2440.058271,0.000410,1.504355,1.472919,2.977275,0.028710,28.788400
31,5,40.932903,621.204262,0.001610,2.676230,2.522680,5.198911,0.007206,11.627600
32,5,40.932903,621.204262,0.001610,2.676230,2.522680,5.198911,0.007206,11.627600
33,5,40.828292,724.824628,0.001380,2.060547,2.038413,4.098960,0.008452,11.436400
34,5,40.828292,724.824628,0.001380,2.060547,2.038413,4.098960,0.008452,11.436400
35,5,40.847982,662.021706,0.001511,2.060547,2.440185,4.500732,0.007705,10.782400
36,5,40.847982,662.021706,0.001511,2.060547,2.440185,4.500732,0.007705,10.782400
37,5,40.760499,2376.424357,0.000421,1.504355,1.873393,3.377749,0.027966,28.138400
38,5,40.760499,2376.424357,0.000421,1.504355,1.873393,3.377749,0.027966,28.138400
39,5,40.912834,602.739311,0.001659,2.676230,2.518458,5.194689,0.007014,11.454800
40,5,40.912834,602.739311,0.001659,2.676230,2.518458,5.194689,0.007014,11.454800
41,5,40.965210,538.844292,0.001856,2.676230,2.923866,5.600097,0.006232,10.772400
42,6,40.864630,661.126020,0.001513,2.060547,2.591417,4.651964,0.007695,10.754400
43,6,40.774954,2375.499829,0.000421,1.504355,2.023739,3.528095,0.027955,28.108800
44,6,40.942106,601.754748,0.001662,2.676230,2.669990,5.346221,0.006991,11.416000
45,6,40.942106,601.754748,0.001662,2.676230,2.669990,5.346221,0.006991,11.416000
46,6,40.979636,537.947246,0.001859,2.676230,3.073563,5.749794,0.006223,10.748000
47,6,40.979636,537.947246,0.001859,2.676230,3.073563,5.749794,0.006223,10.748000
48,7,40.986329,537.326769,0.001861,2.676230,3.220282,5.896512,0.006213,10.720800
