composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,2,42.287610,2559.187767,0.000391,0.888672,0.549900,1.438572,0.351235,352.372800
2,2,42.287610,2559.187767,0.000391,0.888672,0.549900,1.438572,0.351235,352.372800
3,3,42.276302,2558.209735,0.000391,0.888672,0.699801,1.588473,0.351104,352.022400
4,3,42.276302,2558.209735,0.000391,0.888672,0.699801,1.588473,0.351104,352.022400
5,3,41.946433,2518.577852,0.000397,0.888672,0.698662,1.587334,0.347708,348.890000
6,3,41.946433,2518.577852,0.000397,0.888672,0.698662,1.587334,0.347708,348.890000
7,3,41.948492,2535.641580,0.000394,1.504355,1.182131,2.686486,0.349393,350.503000
8,3,41.948492,2535.641580,0.000394,1.504355,1.182131,2.686486,0.349393,350.503000
9,3,41.619877,2436.789939,0.000410,0.888672,1.096230,1.984902,0.339866,342.131200
10,3,41.344182,747.243471,0.001338,2.060547,1.753111,3.813658,0.104213,140.518400
11,3,41.344182,747.243471,0.001338,2.060547,1.753111,3.813658,0.104213,140.518400
12,4,41.928617,2517.641152,0.000397,0.888672,0.846686,1.735358,0.347588,348.548400
13,4,41.928617,2517.641152,0.000397,0.888672,0.846686,1.735358,0.347588,348.548400
14,4,41.933214,2534.659977,0.000395,1.504355,1.331299,2.835655,0.349260,350.149400
15,4,41.933214,2534.659977,0.000395,1.504355,1.331299,2.835655,0.349260,350.149400
16,4,41.596533,2435.706526,0.000411,0.888672,1.243478,2.132149,0.339703,341.741200
17,4,41.596533,2435.706526,0.000411,0.888672,1.243478,2.132149,0.339703,341.741200
18,4,41.618510,2495.525912,0.000401,1.504355,1.332326,2.836682,0.347631,348.783400
19,4,41.618510,2495.525912,0.000401,1.504355,1.332326,2.836682,0.347631,348.783400
20,4,41.332507,746.225559,0.001340,2.060547,1.903144,3.963691,0.104070,140.157200
21,4,41.043224,621.274797,0.001610,2.676230,2.381012,5.057242,0.086645,140.222400
22,4,41.332507,746.225559,0.001340,2.060547,1.903144,3.963691,0.104070,140.157200
23,4,41.043224,621.274797,0.001610,2.676230,2.381012,5.057242,0.086645,140.222400
24,4,41.278730,723.615372,0.001382,2.060547,1.903266,3.963813,0.101504,137.852800
25,4,41.278730,723.615372,0.001382,2.060547,1.903266,3.963813,0.101504,137.852800
26,4,41.204657,658.542371,0.001519,2.060547,2.302403,4.362950,0.092793,130.216400
27,4,41.295614,2413.551520,0.000414,1.504355,1.733029,3.237385,0.337954,340.206000
28,5,41.598718,2434.796864,0.000411,0.888672,1.395805,2.284477,0.339590,341.416000
29,5,41.602615,2494.362313,0.000401,1.504355,1.482627,2.986983,0.347449,348.383000
30,5,41.602615,2494.362313,0.000401,1.504355,1.482627,2.986983,0.347449,348.383000
31,5,41.030559,620.298383,0.001612,2.676230,2.529793,5.206024,0.086513,139.871200
32,5,41.030559,620.298383,0.001612,2.676230,2.529793,5.206024,0.086513,139.871200
33,5,41.266351,722.644026,0.001384,2.060547,2.052870,4.113417,0.101375,137.506000
34,5,41.266351,722.644026,0.001384,2.060547,2.052870,4.113417,0.101375,137.506000
35,5,41.184632,657.558537,0.001521,2.060547,2.449559,4.510106,0.092659,129.858800
36,5,41.184632,657.558537,0.001521,2.060547,2.449559,4.510106,0.092659,129.858800
37,5,41.279831,2412.391023,0.000415,1.504355,1.883660,3.388016,0.337772,339.805600
38,5,41.279831,2412.391023,0.000415,1.504355,1.883660,3.388016,0.337772,339.805600
39,5,40.973597,596.975877,0.001675,2.676230,2.533060,5.209291,0.083754,137.389200
40,5,40.973597,596.975877,0.001675,2.676230,2.533060,5.209291,0.083754,137.389200
41,5,40.923899,532.361631,0.001878,2.676230,2.931159,5.607389,0.075175,129.909600
42,6,41.172156,656.491751,0.001523,2.060547,2.599489,4.660035,0.092504,129.486800
43,6,41.261348,2411.093119,0.000415,1.504355,2.034509,3.538864,0.337554,339.372800
44,6,40.962907,596.397833,0.001677,2.676230,2.680546,5.356776,0.083745,137.153200
45,6,40.962907,596.397833,0.001677,2.676230,2.680546,5.356776,0.083745,137.153200
46,6,40.912457,531.380336,0.001882,2.676230,3.081116,5.757346,0.075028,129.536800
47,6,40.912457,531.380336,0.001882,2.676230,3.081116,5.757346,0.075028,129.536800
48,7,40.895329,530.449446,0.001885,2.676230,3.229202,5.905433,0.074908,129.195600
