composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,2,40.693908,159.194564,0.006282,0.888672,0.551388,1.440060,0.003748,7.496000
2,2,40.693908,159.194564,0.006282,0.888672,0.551388,1.440060,0.003748,7.496000
3,3,40.683312,159.169754,0.006283,0.888672,0.701734,1.590406,0.003748,7.496000
4,3,40.683312,159.169754,0.006283,0.888672,0.701734,1.590406,0.003748,7.496000
5,3,40.630460,158.961163,0.006291,0.888672,0.702091,1.590763,0.003746,7.492800
6,3,40.630460,158.961163,0.006291,0.888672,0.702091,1.590763,0.003746,7.492800
7,3,40.640616,158.983852,0.006290,1.504355,1.177690,2.682045,0.003746,7.492800
8,3,40.640616,158.983852,0.006290,1.504355,1.177690,2.682045,0.003746,7.492800
9,3,40.592576,158.780665,0.006298,0.888672,1.104561,1.993232,0.003748,7.496000
10,3,40.560455,158.636769,0.006304,2.060547,1.750203,3.810750,0.003746,7.492800
11,3,40.560455,158.636769,0.006304,2.060547,1.750203,3.810750,0.003746,7.492800
12,4,40.628582,158.953835,0.006291,0.888672,0.852437,1.741109,0.003748,7.496000
13,4,40.628582,158.953835,0.006291,0.888672,0.852437,1.741109,0.003748,7.496000
14,4,40.647401,158.993827,0.006290,1.504355,1.329286,2.833641,0.003749,7.497600
15,4,40.647401,158.993827,0.006290,1.504355,1.329286,2.833641,0.003749,7.497600
16,4,40.582070,158.756082,0.006299,0.888672,1.248271,2.136943,0.003749,7.497600
17,4,40.582070,158.756082,0.006299,0.888672,1.248271,2.136943,0.003749,7.497600
18,4,40.584348,158.766249,0.006299,1.504355,1.331964,2.836319,0.003752,7.504000
19,4,40.584348,158.766249,0.006299,1.504355,1.331964,2.836319,0.003752,7.504000
20,4,40.558684,158.629848,0.006304,2.060547,1.898785,3.959332,0.003752,7.504000
21,4,40.508418,158.449635,0.006311,2.676230,2.382387,5.058617,0.003748,7.496000
22,4,40.558684,158.629848,0.006304,2.060547,1.898785,3.959332,0.003752,7.504000
23,4,40.508418,158.449635,0.006311,2.676230,2.382387,5.058617,0.003748,7.496000
24,4,40.547054,158.588900,0.006306,2.060547,1.899551,3.960098,0.003748,7.496000
25,4,40.547054,158.588900,0.006306,2.060547,1.899551,3.960098,0.003748,7.496000
26,4,40.532505,158.543992,0.006307,2.060547,2.302592,4.363139,0.003746,7.491200
27,4,40.523814,158.542995,0.006307,1.504355,1.730638,3.234994,0.003745,7.489600
28,5,40.591994,158.772407,0.006298,0.888672,1.400006,2.288678,0.003754,7.507200
29,5,40.590566,158.775066,0.006298,1.504355,1.479609,2.983964,0.003753,7.505600
30,5,40.590566,158.775066,0.006298,1.504355,1.479609,2.983964,0.003753,7.505600
31,5,40.506548,158.442278,0.006311,2.676230,2.530437,5.206667,0.003749,7.497600
32,5,40.506548,158.442278,0.006311,2.676230,2.530437,5.206667,0.003749,7.497600
33,5,40.540358,158.571961,0.006306,2.060547,2.049677,4.110224,0.003750,7.499200
34,5,40.540358,158.571961,0.006306,2.060547,2.049677,4.110224,0.003750,7.499200
35,5,40.513310,158.502054,0.006309,2.060547,2.449369,4.509916,0.003746,7.491200
36,5,40.513310,158.502054,0.006309,2.060547,2.449369,4.509916,0.003746,7.491200
37,5,40.547974,158.587768,0.006306,1.504355,1.876600,3.380955,0.003750,7.499200
38,5,40.547974,158.587768,0.006306,1.504355,1.876600,3.380955,0.003750,7.499200
39,5,40.480028,158.371694,0.006314,2.676230,2.528203,5.204433,0.003746,7.492800
40,5,40.480028,158.371694,0.006314,2.676230,2.528203,5.204433,0.003746,7.492800
41,5,40.471907,158.339905,0.006316,2.676230,2.927018,5.603248,0.003750,7.500800
42,6,40.508332,158.488624,0.006310,2.060547,2.596430,4.656977,0.003750,7.499200
43,6,40.537503,158.563399,0.006307,1.504355,2.026662,3.531017,0.003755,7.510400
44,6,40.469355,158.346754,0.006315,2.676230,2.675542,5.351773,0.003746,7.492800
45,6,40.469355,158.346754,0.006315,2.676230,2.675542,5.351773,0.003746,7.492800
46,6,40.470714,158.333876,0.006316,2.676230,3.076870,5.753100,0.003753,7.505600
47,6,40.470714,158.333876,0.006316,2.676230,3.076870,5.753100,0.003753,7.505600
48,7,40.461443,158.311643,0.006317,2.676230,3.227041,5.903271,0.003750,7.500800
