composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,2,53.582967,187.642978,0.005329,0.888672,0.617807,1.506479,0.028707,57.414400
2,2,53.582967,187.642978,0.005329,0.888672,0.617807,1.506479,0.028707,57.414400
3,3,53.569326,187.596977,0.005331,0.888672,0.786217,1.674889,0.028710,57.420800
4,3,53.569326,187.596977,0.005331,0.888672,0.786217,1.674889,0.028710,57.420800
5,3,53.147151,186.128626,0.005373,0.888672,0.784433,1.673105,0.028644,57.288000
6,3,53.147151,186.128626,0.005373,0.888672,0.784433,1.673105,0.028644,57.288000
7,3,53.202395,186.269309,0.005369,1.504355,1.341697,2.846052,0.028610,57.220800
8,3,53.202395,186.269309,0.005369,1.504355,1.341697,2.846052,0.028610,57.220800
9,3,52.716062,184.647526,0.005416,0.888672,1.250922,2.139594,0.028685,57.369600
10,3,52.454084,183.676584,0.005444,2.060547,1.988873,4.049419,0.028663,57.326400
11,3,52.454084,183.676584,0.005444,2.060547,1.988873,4.049419,0.028663,57.326400
12,4,53.133891,186.083389,0.005374,0.888672,0.952252,1.840924,0.028646,57.292800
13,4,53.133891,186.083389,0.005374,0.888672,0.952252,1.840924,0.028646,57.292800
14,4,53.183555,186.212862,0.005370,1.504355,1.515627,3.019983,0.028610,57.219200
15,4,53.183555,186.212862,0.005370,1.504355,1.515627,3.019983,0.028610,57.219200
16,4,52.701643,184.599922,0.005417,0.888672,1.412019,2.300691,0.028685,57.369600
17,4,52.701643,184.599922,0.005417,0.888672,1.412019,2.300691,0.028685,57.369600
18,4,52.755551,184.752366,0.005413,1.504355,1.509262,3.013618,0.028678,57.355200
19,4,52.755551,184.752366,0.005413,1.504355,1.509262,3.013618,0.028678,57.355200
20,4,52.440438,183.630596,0.005446,2.060547,2.158372,4.218919,0.028664,57.328000
21,4,51.947053,182.183652,0.005489,2.676230,2.695070,5.371301,0.028498,56.996800
22,4,52.440438,183.630596,0.005446,2.060547,2.158372,4.218919,0.028664,57.328000
23,4,51.947053,182.183652,0.005489,2.676230,2.695070,5.371301,0.028498,56.996800
24,4,52.357978,183.360700,0.005454,2.060547,2.157975,4.218522,0.028661,57.321600
25,4,52.357978,183.360700,0.005454,2.060547,2.157975,4.218522,0.028661,57.321600
26,4,52.277580,183.112533,0.005461,2.060547,2.621615,4.682162,0.028645,57.289600
27,4,52.369615,183.370812,0.005453,1.504355,1.969565,3.473920,0.028602,57.204800
28,5,52.686160,184.550094,0.005419,0.888672,1.575350,2.464022,0.028685,57.369600
29,5,52.753791,184.730008,0.005413,1.504355,1.684807,3.189163,0.028686,57.371200
30,5,52.753791,184.730008,0.005413,1.504355,1.684807,3.189163,0.028686,57.371200
31,5,51.945528,182.161955,0.005490,2.676230,2.867392,5.543623,0.028510,57.019200
32,5,51.945528,182.161955,0.005490,2.676230,2.867392,5.543623,0.028510,57.019200
33,5,52.344765,183.315508,0.005455,2.060547,2.331092,4.391639,0.028663,57.326400
34,5,52.344765,183.315508,0.005455,2.060547,2.331092,4.391639,0.028663,57.326400
35,5,52.222982,182.984619,0.005465,2.060547,2.783335,4.843882,0.028625,57.249600
36,5,52.222982,182.984619,0.005465,2.060547,2.783335,4.843882,0.028625,57.249600
37,5,52.292276,183.197438,0.005459,1.504355,2.123446,3.627801,0.028573,57.145600
38,5,52.292276,183.197438,0.005459,1.504355,2.123446,3.627801,0.028573,57.145600
39,5,51.865616,181.897179,0.005498,2.676230,2.868659,5.544889,0.028506,57.011200
40,5,51.865616,181.897179,0.005498,2.676230,2.868659,5.544889,0.028506,57.011200
41,5,51.787788,181.654128,0.005505,2.676230,3.313354,5.989585,0.028490,56.980800
42,6,52.229339,182.978686,0.005465,2.060547,2.956424,5.016971,0.028643,57.286400
43,6,52.297604,183.189376,0.005459,1.504355,2.306007,3.810363,0.028586,57.172800
44,6,51.881892,181.911062,0.005497,2.676230,3.039761,5.715991,0.028526,57.051200
45,6,51.881892,181.911062,0.005497,2.676230,3.039761,5.715991,0.028526,57.051200
46,6,51.750004,181.559841,0.005508,2.676230,3.475626,6.151857,0.028481,56.961600
47,6,51.750004,181.559841,0.005508,2.676230,3.475626,6.151857,0.028481,56.961600
48,7,51.776305,181.593725,0.005507,2.676230,3.662070,6.338300,0.028505,57.009600
