composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,2,39.303148,307.576461,0.003251,0.888672,0.540679,1.429351,0.007114,7.236800
2,2,39.303148,307.576461,0.003251,0.888672,0.540679,1.429351,0.007114,7.053200
3,3,39.309992,307.586578,0.003251,0.888672,0.690344,1.579016,0.007116,7.240000
4,3,39.309992,307.586578,0.003251,0.888672,0.690344,1.579016,0.007116,7.054000
5,3,39.232294,305.912937,0.003269,0.888672,0.683594,1.572266,0.007084,7.190800
6,3,39.232294,305.912937,0.003269,0.888672,0.683594,1.572266,0.007084,7.052800
7,3,39.250758,156.364429,0.006395,1.504355,1.159500,2.663855,0.003620,7.227000
8,3,39.250758,156.364429,0.006395,1.504355,1.159500,2.663855,0.003620,7.043400
9,3,39.196611,301.495728,0.003317,0.888672,1.079573,1.968245,0.006993,7.054800
10,3,39.156605,276.947320,0.003611,2.060547,1.718101,3.778648,0.006430,7.236800
11,3,39.156605,276.947320,0.003611,2.060547,1.718101,3.778648,0.006430,7.052000
12,4,39.239173,305.923149,0.003269,0.888672,0.832398,1.721070,0.007087,7.197200
13,4,39.239173,305.923149,0.003269,0.888672,0.832398,1.721070,0.007087,7.054400
14,4,39.257601,156.374546,0.006395,1.504355,1.309164,2.813520,0.003622,7.230200
15,4,39.257601,156.374546,0.006395,1.504355,1.309164,2.813520,0.003622,7.044200
16,4,39.194814,301.488587,0.003317,0.888672,1.226918,2.115590,0.006995,7.059600
17,4,39.194814,301.488587,0.003317,0.888672,1.226918,2.115590,0.006995,7.054800
18,4,39.180253,156.118377,0.006405,1.504355,1.302439,2.806794,0.003622,7.187400
19,4,39.180253,156.118377,0.006405,1.504355,1.302439,2.806794,0.003622,7.049400
20,4,39.163461,276.957485,0.003611,2.060547,1.867766,3.928313,0.006433,7.243200
21,4,39.114579,155.822396,0.006418,2.676230,2.336976,5.013207,0.003622,7.231800
22,4,39.163461,276.957485,0.003611,2.060547,1.867766,3.928313,0.006433,7.053600
23,4,39.114579,155.822396,0.006418,2.676230,2.336976,5.013207,0.003622,7.047000
24,4,39.145957,276.904933,0.003611,2.060547,1.866210,3.926757,0.006431,7.194400
25,4,39.145957,276.904933,0.003611,2.060547,1.866210,3.926757,0.006431,7.055200
26,4,39.137973,276.855828,0.003612,2.060547,2.258198,4.318745,0.006429,7.054400
27,4,39.146229,155.948312,0.006412,1.504355,1.698434,3.202789,0.003622,7.047800
28,5,39.184376,301.464165,0.003317,0.888672,1.371617,2.260289,0.006997,7.058000
29,5,39.187132,156.128589,0.006405,1.504355,1.451243,2.955599,0.003626,7.193800
30,5,39.187132,156.128589,0.006405,1.504355,1.451243,2.955599,0.003626,7.051000
31,5,39.121435,155.832561,0.006417,2.676230,2.486641,5.162872,0.003626,7.238200
32,5,39.121435,155.832561,0.006417,2.676230,2.486641,5.162872,0.003626,7.048600
33,5,39.152813,276.915098,0.003611,2.060547,2.015875,4.076422,0.006434,7.200800
34,5,39.152813,276.915098,0.003611,2.060547,2.015875,4.076422,0.006434,7.056800
35,5,39.136188,276.848711,0.003612,2.060547,2.405007,4.465554,0.006431,7.056800
36,5,39.136188,276.848711,0.003612,2.060547,2.405007,4.465554,0.006431,7.054400
37,5,39.144385,155.940980,0.006413,1.504355,1.847489,3.351845,0.003622,7.046600
38,5,39.144385,155.940980,0.006413,1.504355,1.847489,3.351845,0.003622,7.044200
39,5,39.103931,155.780010,0.006419,2.676230,2.485085,5.161316,0.003624,7.189400
40,5,39.103931,155.780010,0.006419,2.676230,2.485085,5.161316,0.003624,7.050200
41,5,39.095970,155.748302,0.006421,2.676230,2.876230,5.552460,0.003623,7.051000
42,6,39.125923,276.824586,0.003612,2.060547,2.550290,4.610837,0.006432,7.056000
43,6,39.133995,155.916750,0.006414,1.504355,1.990478,3.494833,0.003626,7.049800
44,6,39.110787,155.790175,0.006419,2.676230,2.634750,5.310980,0.003627,7.195800
45,6,39.110787,155.790175,0.006419,2.676230,2.634750,5.310980,0.003627,7.051800
46,6,39.094185,155.741185,0.006421,2.676230,3.023039,5.699269,0.003626,7.053400
47,6,39.094185,155.741185,0.006421,2.676230,3.023039,5.699269,0.003626,7.051000
48,7,39.092388,155.734045,0.006421,2.676230,3.170594,5.846825,0.003628,7.055800
