composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,2,51.815404,357.357729,0.002798,0.888672,0.623969,1.512641,0.014014,14.256000
2,2,51.815404,357.357729,0.002798,0.888672,0.623969,1.512641,0.014014,13.892400
3,3,51.799706,357.312177,0.002799,0.888672,0.791987,1.680659,0.014014,14.259200
4,3,51.799706,357.312177,0.002799,0.888672,0.791987,1.680659,0.014014,13.892000
5,3,51.710239,355.294163,0.002815,0.888672,0.785750,1.674422,0.013972,14.182400
6,3,51.710239,355.294163,0.002815,0.888672,0.785750,1.674422,0.013972,13.910000
7,3,51.669462,181.530079,0.005509,1.504355,1.343274,2.847630,0.007129,14.231600
8,3,51.669462,181.530079,0.005509,1.504355,1.343274,2.847630,0.007129,13.862000
9,3,51.618239,349.932795,0.002858,0.888672,1.240233,2.128905,0.013781,13.896000
10,3,51.542405,321.182976,0.003113,2.060547,1.992027,4.052574,0.012670,14.265600
11,3,51.542405,321.182976,0.003113,2.060547,1.992027,4.052574,0.012670,13.893600
12,4,51.722237,355.338958,0.002814,0.888672,0.955160,1.843832,0.013978,14.198800
13,4,51.722237,355.338958,0.002814,0.888672,0.955160,1.843832,0.013978,13.906000
14,4,51.576709,181.368663,0.005514,1.504355,1.511317,3.015673,0.007120,14.208800
15,4,51.576709,181.368663,0.005514,1.504355,1.511317,3.015673,0.007120,13.836800
16,4,51.592617,349.832616,0.002859,0.888672,1.410443,2.299114,0.013778,13.905600
17,4,51.592617,349.832616,0.002859,0.888672,1.410443,2.299114,0.013778,13.891200
18,4,51.589000,181.200918,0.005519,1.504355,1.502371,3.006727,0.007136,14.170600
19,4,51.589000,181.200918,0.005519,1.504355,1.502371,3.006727,0.007136,13.877800
20,4,51.537562,321.147524,0.003114,2.060547,2.165888,4.226435,0.012670,14.268800
21,4,51.348608,180.516447,0.005540,2.676230,2.695423,5.371654,0.007116,14.208600
22,4,51.537562,321.147524,0.003114,2.060547,2.165888,4.226435,0.012670,13.890800
23,4,51.348608,180.516447,0.005540,2.676230,2.695423,5.371654,0.007116,13.851000
24,4,51.458451,320.939918,0.003116,2.060547,2.155709,4.216256,0.012661,14.165200
25,4,51.458451,320.939918,0.003116,2.060547,2.155709,4.216256,0.012661,13.884400
26,4,51.359586,320.668349,0.003118,2.060547,2.595247,4.655794,0.012643,13.881200
27,4,51.465204,180.808042,0.005531,1.504355,1.970884,3.475240,0.007128,13.869000
28,5,51.602447,349.884703,0.002858,0.888672,1.576319,2.464991,0.013791,13.900400
29,5,51.593750,181.207924,0.005519,1.504355,1.679840,3.184195,0.007140,14.176200
30,5,51.593750,181.207924,0.005519,1.504355,1.679840,3.184195,0.007140,13.878600
31,5,51.295364,180.407513,0.005543,2.676230,2.847434,5.523664,0.007116,14.208600
32,5,51.295364,180.407513,0.005543,2.676230,2.847434,5.523664,0.007116,13.854600
33,5,51.509006,321.084836,0.003114,2.060547,2.328346,4.388893,0.012674,14.184800
34,5,51.509006,321.084836,0.003114,2.060547,2.328346,4.388893,0.012674,13.905200
35,5,51.354732,320.598376,0.003119,2.060547,2.767679,4.828226,0.012641,13.861600
36,5,51.354732,320.598376,0.003119,2.060547,2.767679,4.828226,0.012641,13.874800
37,5,51.434328,180.743701,0.005533,1.504355,2.145359,3.649714,0.007126,13.865400
38,5,51.434328,180.743701,0.005533,1.504355,2.145359,3.649714,0.007126,13.848600
39,5,51.288146,180.366678,0.005544,2.676230,2.856617,5.532847,0.007114,14.113000
40,5,51.288146,180.366678,0.005544,2.676230,2.856617,5.532847,0.007114,13.858600
41,5,51.233866,180.242386,0.005548,2.676230,3.319815,5.996045,0.007109,13.807800
42,6,51.356698,320.669244,0.003118,2.060547,2.930900,4.991447,0.012650,13.880800
43,6,51.455308,180.783334,0.005531,1.504355,2.317098,3.821453,0.007139,13.853000
44,6,51.319808,180.427794,0.005542,2.676230,3.018931,5.695162,0.007126,14.142600
45,6,51.319808,180.427794,0.005542,2.676230,3.018931,5.695162,0.007126,13.867800
46,6,51.281560,180.335279,0.005545,2.676230,3.493641,6.169872,0.007122,13.852600
47,6,51.281560,180.335279,0.005545,2.676230,3.493641,6.169872,0.007122,13.843000
48,7,51.230154,180.229926,0.005548,2.676230,3.658025,6.334255,0.007112,13.821400
