composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,10.215614,621.561049,0.001609,0.449219,0.000000,0.449219,0.546176,546.176000
2,2,9.691049,586.289439,0.001706,0.449219,0.066793,0.516012,0.542226,542.475200
3,2,8.849023,269.111406,0.003716,1.230469,0.822824,2.053293,0.248916,253.620000
4,2,9.160211,528.834792,0.001891,0.449219,0.394418,0.843637,0.516655,519.586800
5,2,8.832385,208.970499,0.004785,2.539062,2.202507,4.741570,0.206118,254.656000
6,3,9.132375,528.738819,0.001891,0.449219,0.461502,0.910720,0.516686,519.503200
7,3,8.612619,251.361683,0.003978,1.230469,0.889766,2.120235,0.245116,250.065600
8,3,8.462778,176.172053,0.005676,3.320312,3.024326,6.344638,0.172984,188.516000
9,3,8.681006,196.408936,0.005091,2.539062,2.269360,4.808422,0.202637,251.417600
10,3,8.565250,164.144682,0.006092,2.539062,2.600183,5.139246,0.176777,228.245200
11,3,8.393292,212.612093,0.004703,1.230469,1.219310,2.449779,0.219464,227.126800
12,4,8.536092,164.040125,0.006096,2.539062,2.667110,5.206173,0.176795,228.144800
13,4,8.363866,212.489942,0.004706,1.230469,1.286480,2.516948,0.219443,226.988000
14,4,8.311541,163.566636,0.006114,3.320312,3.090800,6.411112,0.169384,185.168000
15,4,8.199029,131.435227,0.007608,3.320312,3.421888,6.742200,0.143797,162.259200
16,5,8.166979,131.309005,0.007616,3.320312,3.487543,6.807855,0.143749,162.078000
