composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,9.729207,607.419165,0.001646,0.449219,0.000000,0.449219,0.517670,517.670400
2,2,9.238536,573.067696,0.001745,0.449219,0.065190,0.514409,0.513901,514.137600
3,2,8.602554,270.196255,0.003701,1.230469,0.801482,2.031951,0.236593,241.045600
4,2,8.768120,516.862930,0.001935,0.449219,0.384859,0.834078,0.489544,492.340000
5,2,8.851845,221.555877,0.004514,2.539062,2.143961,4.683023,0.195603,241.561600
6,3,8.747468,516.742011,0.001935,0.449219,0.450737,0.899955,0.489476,492.167200
7,3,8.383760,252.828934,0.003955,1.230469,0.866127,2.096596,0.232909,237.593600
8,3,8.669579,190.480510,0.005250,3.320312,2.945398,6.265710,0.164371,179.110000
9,3,8.714706,209.273625,0.004778,2.539062,2.208952,4.748014,0.192216,238.409600
10,3,8.638640,177.648109,0.005629,2.539062,2.529901,5.068964,0.167707,216.462400
11,3,8.205434,214.823533,0.004655,1.230469,1.186460,2.416929,0.208506,215.756400
12,4,8.616982,177.570699,0.005632,2.539062,2.594806,5.133869,0.167719,216.354800
13,4,8.184104,214.759229,0.004656,1.230469,1.251197,2.481666,0.208543,215.674800
14,4,8.532147,178.196150,0.005612,3.320312,3.009927,6.330240,0.161016,175.996000
15,4,8.456013,146.537777,0.006824,3.320312,3.330925,6.651237,0.136444,153.986800
16,5,8.434239,146.480745,0.006827,3.320312,3.395616,6.715928,0.136492,153.916800
