composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,7.670074,467.024734,0.002141,0.449219,0.000000,0.449219,0.005670,5.670400
2,2,7.664772,463.692834,0.002157,0.449219,0.063477,0.512695,0.005636,5.640000
3,2,7.588431,211.366186,0.004731,1.230469,0.813910,2.044379,0.002558,2.606400
4,2,7.644461,440.735715,0.002269,0.449219,0.393218,0.842437,0.005360,5.393600
5,2,7.608358,175.328742,0.005704,2.539062,2.180125,4.719188,0.002128,2.630400
6,3,7.676736,442.358382,0.002261,0.449219,0.448734,0.897953,0.005400,5.433600
7,3,7.586109,208.214523,0.004803,1.230469,0.877922,2.108391,0.002524,2.577600
8,3,7.588965,146.681651,0.006817,3.320312,2.989165,6.309477,0.001775,1.937600
9,3,7.606912,172.231948,0.005806,2.539062,2.245915,4.784978,0.002106,2.612800
10,3,7.611840,150.097889,0.006662,2.539062,2.575037,5.114099,0.001843,2.379200
11,3,7.566883,184.903369,0.005408,1.230469,1.200968,2.431437,0.002235,2.317200
12,4,7.603827,150.081391,0.006663,2.539062,2.638027,5.177089,0.001843,2.377200
13,4,7.566651,184.902481,0.005408,1.230469,1.266765,2.497234,0.002237,2.320800
14,4,7.570684,143.531260,0.006967,3.320312,3.048831,6.369143,0.001766,1.931200
15,4,7.569386,120.885697,0.008272,3.320312,3.367841,6.688154,0.001477,1.671600
16,5,7.569152,121.923898,0.008202,3.320312,3.437646,6.757959,0.001502,1.693200
