composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,7.772316,473.253685,0.002113,0.449219,0.000000,0.449219,0.016998,16.998400
2,2,7.761862,469.047270,0.002132,0.449219,0.066385,0.515604,0.016879,16.888000
3,2,7.891219,222.846275,0.004487,1.230469,0.821894,2.052363,0.007775,7.921200
4,2,7.757256,445.240667,0.002246,0.449219,0.389845,0.839064,0.016050,16.143200
5,2,8.146156,196.254289,0.005095,2.539062,2.207825,4.746888,0.006459,7.952000
6,3,7.771615,445.455323,0.002245,0.449219,0.456587,0.905806,0.016065,16.157200
7,3,7.896846,219.185408,0.004562,1.230469,0.888954,2.119423,0.007670,7.827200
8,3,8.323799,168.847147,0.005923,3.320312,3.019140,6.339453,0.005445,5.924400
9,3,8.151444,192.670638,0.005190,2.539062,2.273438,4.812501,0.006357,7.862400
10,3,8.192537,170.022413,0.005882,2.539062,2.605318,5.144381,0.005542,7.134800
11,3,7.916746,196.337748,0.005093,1.230469,1.216467,2.446936,0.006852,7.091600
12,4,8.177354,169.937564,0.005885,2.539062,2.661600,5.200662,0.005529,7.117200
13,4,7.915738,196.346795,0.005093,1.230469,1.279763,2.510232,0.006854,7.092400
14,4,8.326106,165.341552,0.006048,3.320312,3.086194,6.406507,0.005327,5.815600
15,4,8.328963,142.438216,0.007021,3.320312,3.407177,6.727490,0.004505,5.072400
16,5,8.335053,142.461436,0.007019,3.320312,3.473923,6.794236,0.004506,5.072000
