composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,9.304905,74.068470,0.013501,0.449219,0.000000,0.449219,0.062158,62.158400
2,2,8.828581,70.276482,0.014230,0.449219,0.063591,0.512810,0.062134,62.134400
3,2,8.082540,64.338069,0.015543,1.230469,0.785170,2.015638,0.062106,62.105600
4,2,8.349377,66.461429,0.015046,0.449219,0.377922,0.827141,0.062150,62.150400
5,2,8.083094,64.340812,0.015542,2.539062,2.100377,4.639439,0.062120,62.120000
6,3,8.322938,66.251601,0.015094,0.449219,0.441404,0.890623,0.062154,62.153600
7,3,7.867048,62.622415,0.015969,1.230469,0.848805,2.079274,0.062086,62.086400
8,3,7.767025,61.826475,0.016174,3.320312,2.885465,6.205777,0.062082,62.081600
9,3,7.945988,63.249502,0.015810,2.539062,2.164146,4.703209,0.062144,62.144000
10,3,7.844778,62.443065,0.016015,2.539062,2.478252,5.017314,0.062139,62.139200
11,3,7.668311,61.040672,0.016383,1.230469,1.162957,2.393426,0.062101,62.100800
12,4,7.817849,62.231043,0.016069,2.539062,2.541839,5.080901,0.062133,62.132800
13,4,7.642071,60.831738,0.016439,1.230469,1.226705,2.457174,0.062107,62.107200
14,4,7.630550,60.737689,0.016464,3.320312,2.949537,6.269849,0.062110,62.110400
15,4,7.529075,59.929957,0.016686,3.320312,3.263645,6.583958,0.062099,62.099200
16,5,7.502228,59.718548,0.016745,3.320312,3.327115,6.647428,0.062099,62.099200
