composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,6.928492,55.427937,0.018041,0.449219,0.000000,0.449219,0.000640,0.640000
2,2,6.924219,55.393752,0.018053,0.449219,0.063477,0.512695,0.000640,0.640000
3,2,6.931397,55.451178,0.018034,1.230469,0.781250,2.011719,0.000640,0.640000
4,2,6.922400,55.379200,0.018057,0.449219,0.375977,0.825195,0.000642,0.641600
5,2,6.957281,55.658248,0.017967,2.539062,2.089844,4.628906,0.000640,0.640000
6,3,6.922747,55.381974,0.018056,0.449219,0.439453,0.888672,0.000642,0.641600
7,3,6.929800,55.438400,0.018038,1.230469,0.844727,2.075195,0.000640,0.640000
8,3,6.969498,55.755984,0.017935,3.320312,2.871094,6.191406,0.000640,0.640000
9,3,6.956488,55.651903,0.017969,2.539062,2.153320,4.692383,0.000640,0.640000
10,3,6.958557,55.668455,0.017963,2.539062,2.465820,5.004883,0.000642,0.641600
11,3,6.930861,55.446888,0.018035,1.230469,1.157227,2.387695,0.000642,0.641600
12,4,6.958904,55.671229,0.017963,2.539062,2.529297,5.068359,0.000642,0.641600
13,4,6.931208,55.449662,0.018034,1.230469,1.220703,2.451172,0.000642,0.641600
14,4,6.968705,55.749639,0.017937,3.320312,2.934570,6.254883,0.000640,0.640000
15,4,6.970774,55.766191,0.017932,3.320312,3.247070,6.567383,0.000642,0.641600
16,5,6.971121,55.768965,0.017931,3.320312,3.310547,6.630859,0.000642,0.641600
