composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,8.452605,66.026039,0.015146,0.449219,0.000000,0.449219,0.032293,32.292800
2,2,8.203809,64.086337,0.015604,0.449219,0.065376,0.514595,0.032280,32.280000
3,2,7.809802,61.003037,0.016393,1.230469,0.801233,2.031702,0.032230,32.230400
4,2,7.951534,62.122113,0.016097,0.449219,0.384605,0.833824,0.032280,32.280000
5,2,7.794852,60.889372,0.016423,2.539062,2.145141,4.684204,0.032206,32.206400
6,3,7.938397,62.016216,0.016125,0.449219,0.449878,0.899097,0.032288,32.288000
7,3,7.694623,60.113897,0.016635,1.230469,0.866054,2.096523,0.032208,32.208000
8,3,7.623661,59.551521,0.016792,3.320312,2.944736,6.265048,0.032214,32.214400
9,3,7.722922,60.328461,0.016576,2.539062,2.210316,4.749378,0.032211,32.211200
10,3,7.665592,59.892674,0.016697,2.539062,2.529642,5.068705,0.032200,32.200000
11,3,7.589647,59.294662,0.016865,1.230469,1.186655,2.417124,0.032218,32.217600
12,4,7.654148,59.793546,0.016724,2.539062,2.596400,5.135462,0.032214,32.214400
13,4,7.577368,59.192340,0.016894,1.230469,1.251602,2.482071,0.032232,32.232000
14,4,7.549451,58.981490,0.016954,3.320312,3.008713,6.329025,0.032210,32.209600
15,4,7.495156,58.557701,0.017077,3.320312,3.329297,6.649610,0.032208,32.208000
16,5,7.481144,58.448446,0.017109,3.320312,3.394629,6.714942,0.032214,32.214400
