composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,7.722607,58.778369,0.017013,0.449219,0.000000,0.449219,0.002125,2.124800
2,2,7.700631,58.631736,0.017056,0.449219,0.067133,0.516352,0.002126,2.126400
3,2,7.669060,58.412405,0.017120,1.230469,0.821894,2.052363,0.002123,2.123200
4,2,7.678109,58.482064,0.017099,0.449219,0.397547,0.846765,0.002122,2.121600
5,2,7.634967,58.273526,0.017160,2.539062,2.207825,4.746888,0.002114,2.113600
6,3,7.677434,58.476218,0.017101,0.449219,0.461672,0.910890,0.002128,2.128000
7,3,7.667532,58.379821,0.017129,1.230469,0.886035,2.116504,0.002131,2.131200
8,3,7.640111,58.254120,0.017166,3.320312,3.018059,6.338371,0.002122,2.121600
9,3,7.642374,58.286286,0.017157,2.539062,2.282515,4.821578,0.002123,2.123200
10,3,7.639695,58.262783,0.017164,2.539062,2.605208,5.144270,0.002123,2.123200
11,3,7.653342,58.297937,0.017153,1.230469,1.216467,2.446936,0.002125,2.124800
12,4,7.637344,58.250091,0.017167,2.539062,2.668169,5.207232,0.002128,2.128000
13,4,7.651868,58.288853,0.017156,1.230469,1.282828,2.513296,0.002131,2.131200
14,4,7.638027,58.228820,0.017174,3.320312,3.086256,6.406569,0.002128,2.128000
15,4,7.608661,58.098424,0.017212,3.320312,3.404470,6.724783,0.002117,2.116800
16,5,7.613541,58.114655,0.017207,3.320312,3.473923,6.794236,0.002122,2.121600
