composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,9.682019,75.559134,0.013235,0.449219,0.000000,0.449219,0.064709,64.708800
2,2,9.184666,71.461335,0.013994,0.449219,0.065190,0.514409,0.064445,64.444800
3,2,8.391257,49.375453,0.020253,1.230469,0.801482,2.031951,0.050128,42.374800
4,2,8.682124,65.897906,0.015175,0.449219,0.385959,0.835177,0.062818,62.818400
5,2,8.365575,55.437340,0.018038,2.539062,2.143961,4.683023,0.055311,58.919200
6,3,8.654799,65.027134,0.015378,0.449219,0.450737,0.899955,0.062011,62.829600
7,3,8.165893,48.497367,0.020620,1.230469,0.866127,2.096596,0.050118,42.118400
8,3,8.019236,47.923791,0.020866,3.320312,2.945451,6.265764,0.050115,41.062600
9,3,8.221379,54.875387,0.018223,2.539062,2.208970,4.748032,0.055317,58.698000
10,3,8.112535,54.452389,0.018365,2.539062,2.529371,5.068433,0.055318,57.063600
11,3,7.954797,47.675662,0.020975,1.230469,1.186460,2.416929,0.050124,40.496800
12,4,8.084376,53.578014,0.018664,2.539062,2.594388,5.133450,0.054502,57.061400
13,4,7.927343,46.802384,0.021366,1.230469,1.251376,2.481845,0.049312,40.505600
14,4,7.875350,47.363247,0.021113,3.320312,3.010263,6.330575,0.050126,40.852600
15,4,7.766043,46.937696,0.021305,3.320312,3.330883,6.651196,0.050121,39.208800
16,5,7.738059,46.063741,0.021709,3.320312,3.395903,6.716215,0.049307,39.210800
