composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,9.519062,66.844776,0.014960,0.449219,0.000000,0.449219,0.010152,10.152000
2,2,9.441464,66.067509,0.015136,0.449219,0.072617,0.521836,0.010117,10.116800
3,2,9.317656,50.521065,0.019794,1.230469,0.909255,2.139723,0.007843,6.661800
4,2,9.368199,63.887534,0.015653,0.449219,0.433296,0.882515,0.009868,9.868000
5,2,9.359788,56.119620,0.017819,2.539062,2.424637,4.963699,0.008676,9.244800
6,3,9.356661,63.015565,0.015869,0.449219,0.508011,0.957230,0.009730,9.857600
7,3,9.280905,50.401321,0.019841,1.230469,0.977600,2.208068,0.007848,6.631000
8,3,9.325371,50.563741,0.019777,3.320312,3.340442,6.660754,0.007861,6.466000
9,3,9.340464,56.048090,0.017842,2.539062,2.499673,5.038735,0.008683,9.216800
10,3,9.327028,55.995668,0.017859,2.539062,2.865543,5.404605,0.008680,8.963600
11,3,9.240202,50.299324,0.019881,1.230469,1.340899,2.571368,0.007848,6.350200
12,4,9.316513,55.136234,0.018137,2.539062,2.937780,5.476843,0.008547,8.958800
13,4,9.242198,49.472403,0.020213,1.230469,1.415806,2.646274,0.007725,6.354600
14,4,9.287332,50.454805,0.019820,3.320312,3.406057,6.726370,0.007858,6.424000
15,4,9.269075,50.395735,0.019843,3.320312,3.765408,7.085720,0.007851,6.153000
16,5,9.267210,49.553742,0.020180,3.320312,3.840808,7.161121,0.007726,6.163200
