composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,8.457272,66.062497,0.015137,0.449219,0.000000,0.449219,0.032293,32.292800
2,2,8.209143,63.911988,0.015647,0.449219,0.065376,0.514595,0.032160,32.160000
3,2,7.830714,46.700751,0.021413,1.230469,0.801233,2.031702,0.024979,21.150400
4,2,7.960091,60.424526,0.016550,0.449219,0.384605,0.833824,0.031348,31.348000
5,2,7.843002,52.127969,0.019184,2.539062,2.145141,4.684204,0.027526,29.350800
6,3,7.947620,59.623530,0.016772,0.449219,0.449878,0.899097,0.030942,31.352000
7,3,7.716186,46.257996,0.021618,1.230469,0.866054,2.096523,0.024967,21.010600
8,3,7.688003,46.145356,0.021671,3.320312,2.944736,6.265048,0.024972,20.492800
9,3,7.771734,51.850094,0.019286,2.539062,2.210316,4.749378,0.027528,29.236400
10,3,7.717624,51.643289,0.019364,2.539062,2.529642,5.068705,0.027521,28.406400
11,3,7.614464,45.861075,0.021805,1.230469,1.186655,2.417124,0.024972,20.201800
12,4,7.706879,50.844239,0.019668,2.539062,2.596400,5.135462,0.027117,28.419200
13,4,7.602844,45.061700,0.022192,1.230469,1.251602,2.482071,0.024569,20.214600
14,4,7.614427,45.862865,0.021804,3.320312,3.008713,6.329025,0.024970,20.369600
15,4,7.563438,45.664634,0.021899,3.320312,3.328955,6.649267,0.024973,19.553200
16,5,7.550075,44.863359,0.022290,3.320312,3.394293,6.714606,0.024567,19.561000
