composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,6.972389,55.779114,0.017928,0.449219,0.000000,0.449219,0.001918,1.918400
2,2,6.957741,55.461201,0.018031,0.449219,0.063477,0.512695,0.001911,1.911200
3,2,6.935804,42.978020,0.023268,1.230469,0.781250,2.011719,0.001487,1.258400
4,2,6.943149,53.936677,0.018540,0.449219,0.375977,0.825195,0.001862,1.862400
5,2,6.937581,47.440379,0.021079,2.539062,2.089844,4.628906,0.001640,1.748200
6,3,6.942373,53.231228,0.018786,0.449219,0.439453,0.888672,0.001838,1.862400
7,3,6.929183,42.951538,0.023282,1.230469,0.844727,2.075195,0.001487,1.251200
8,3,6.928931,42.950531,0.023283,3.320312,2.871094,6.191406,0.001487,1.220200
9,3,6.933360,47.423497,0.021087,2.539062,2.153320,4.692383,0.001640,1.741000
10,3,6.930445,47.411835,0.021092,2.539062,2.465820,5.004883,0.001640,1.692200
11,3,6.923244,42.927780,0.023295,1.230469,1.157227,2.387695,0.001487,1.202400
12,4,6.929668,46.706386,0.021410,2.539062,2.529297,5.068359,0.001616,1.692200
13,4,6.922467,42.222331,0.023684,1.230469,1.220703,2.451172,0.001463,1.202400
14,4,6.924711,42.933649,0.023292,3.320312,2.934570,6.254883,0.001487,1.213000
15,4,6.921795,42.921987,0.023298,3.320312,3.247070,6.567383,0.001487,1.164200
16,5,6.921019,42.216538,0.023687,3.320312,3.310547,6.630859,0.001463,1.164200
