composition_number,n,cpu_time_per_event,cpu_time_per_event_sem,cpu_utilization,cpu_utilization_sem,event_throughput,event_throughput_sem,total_write_remote_mb_per_event,total_write_remote_mb_per_event_sem,total_turnaround_time,total_turnaround_time_sem,network_transfer_mb_per_event,network_transfer_mb_per_event_sem,memory_occupancy,memory_occupancy_sem,total_cpu_cores_used,total_cpu_cores_used_sem,total_memory_used_mb,total_memory_used_mb_sem
1,10,57.0086836053125,0.04356465527226581,0.7626811594202898,0.0,0.01754128005108587,1.3477979591159882e-05,0.44921875,0.0,126214.151171875,4352.212109374999,0.44921875,0.0,0.6068840579710145,0.0,6711.2,10.009773002199177,6711200.0,10009.773002199177
2,10,56.739086256250005,0.04877664514310754,0.8822992700729928,0.0,0.01762465272909816,1.524282741028576e-05,0.44921875,0.0,141391.46774414065,7936.336388539265,0.514340625,0.0011705711496556896,0.8038321167883211,0.0,6696.8,11.231701167281432,6696800.0,11231.701167281433
3,10,44.08377182373438,0.0329878769028532,0.9717741935483872,3.700743415417188e-17,0.02268419916111233,1.7042740600318086e-05,1.23046875,0.0,168788.74160156248,4321.176928052931,2.029661015625,0.0009031864613482177,0.9455645161290323,0.0,5202.0,7.961016127215029,4394100.0,8484.561142320666
4,10,55.217918328960934,0.04732943922405425,0.6774038461538463,3.700743415417188e-17,0.018110183759785136,1.560641197277584e-05,0.44921875,0.0,143634.88826171873,5273.0515170752,0.8343113154296875,0.0015974857620126692,0.8067307692307694,3.700743415417188e-17,6526.8,11.267258367105597,6526800.0,11267.258367105598
5,10,48.792412743749985,0.04427891267085088,0.900127551020408,3.700743415417188e-17,0.02049514258500207,1.871037927123055e-05,2.5390625,0.0,167502.175,4782.537648965081,4.6802063968750005,0.0015541511518581761,0.7284256559766764,0.0,5745.6,10.122801544587897,6125400.0,9919.901433202067
6,10,54.49441242610156,0.0501477942604103,0.9307692307692308,0.0,0.018350645889322448,1.6984007217444096e-05,0.44921875,0.0,169059.67967773438,6688.661434768046,0.8983258201171875,0.0020616581424852563,0.8711538461538462,0.0,6447.2,11.933891979475002,6534400.0,11763.59733339348
7,10,44.06902180940039,0.03335162420416364,0.9808743169398907,0.0,0.022691794233560207,1.7240494461821152e-05,1.23046875,0.0,175473.41762695313,3591.2600539251152,2.094007875439453,0.001124533887544472,0.9658469945355191,0.0,5214.0,8.310635755865292,4386100.0,8838.614773317768
8,10,44.228689605750006,0.036021852122983734,0.9708333333333334,3.700743415417188e-17,0.022609894264710523,1.8493312491087772e-05,3.3203125,0.0,226874.18656250002,4706.223364303466,6.25852905625,0.0034466979968712473,0.9666666666666666,3.700743415417188e-17,5209.2,8.764575162423892,4273700.0,9232.851973012215
9,10,48.786980452333985,0.04740577007582723,0.9326705040990755,0.0,0.020497447064022824,2.003805978211136e-05,2.5390625,0.0,174205.9682275391,3954.1583615507748,4.74632050756836,0.0027476175962389397,0.8223692407365878,3.700743415417188e-17,5756.4,10.969857691774209,6113800.0,11240.601012006035
10,10,48.78571205178124,0.043248696623522966,0.8167517006802723,3.700743415417188e-17,0.02049795064638876,1.828674604623254e-05,2.5390625,0.0,194113.4051171875,3918.9963894613343,5.064179665625001,0.0014748220898329104,0.8522837706511176,0.0,5753.6,9.891859728528749,5940500.0,8990.427007532944
11,10,44.076338954820315,0.03653842043767855,0.8541666666666666,0.0,0.02268805053784402,1.887133447101452e-05,1.23046875,0.0,199947.89773925784,7550.393899019349,2.414635304980469,0.0015822118919718113,0.9830246913580248,3.700743415417188e-17,5212.4,8.853373493884815,4214400.0,10129.385195777897
12,10,48.05961062467186,0.04370481431990805,0.9719387755102039,3.700743415417188e-17,0.020807648571593253,1.9037798330247735e-05,2.5390625,0.0,215634.9044921875,2025.24246937969,5.128013324218751,0.0017475527650718408,0.8892128279883382,0.0,5673.6,9.914299437344694,5948100.0,9240.550729138267
13,10,43.35665890352149,0.04035225897107791,1.0,0.0,0.023064688183322822,2.152801258312844e-05,1.23046875,0.0,226883.88787597656,8508.611435199653,2.478584163525391,0.0017352361236927028,0.9872685185185185,0.0,5133.8,10.234799026415278,4221000.0,10767.234247165485
14,10,44.22186524839843,0.03654535295904779,0.9775641025641025,0.0,0.02261338744806276,1.8766810782908174e-05,3.3203125,0.0,233807.9660986328,5653.27297846463,6.32404702109375,0.0035044324831568943,0.9775641025641025,0.0,5218.8,8.945265662783736,4261300.0,9477.517255765528
15,10,44.22096048939063,0.03599516368742227,0.890625,0.0,0.022613845933225792,1.8482562797579892e-05,3.3203125,0.0,253315.00011718753,4731.767460064937,6.6446017890625,0.003829560126567427,1.0,0.0,5218.0,9.087231579407327,4093100.0,9344.576561359594
16,10,43.50693324604688,0.03539523430746952,1.0,0.0,0.022984979728802334,1.8768199839757857e-05,3.3203125,0.0,279440.33123046876,4729.611975509417,6.7113030902343755,0.0037738297319318296,1.0,0.0,5138.8,8.92038863129479,4100700.0,8678.26147464008
